MC DONALDS,McDonalds
BAKED POTAT,Baked Potato
SAQUE 24H 32181075 09/02,
MAKIS PLACE,Makis Place
BRIGADERIA,Brigaderia
CENTRO AUTO,Centro Automotivo
TBI 8471.13890-2pres dri,
TEC DEPOSITO DINHEIRO,
ROUMANOS FR,
CHAPLIN T I,Chaplin Tabacaria
PAULO VITOR,
RIACHUELO,Riachuelo
PIMENTA VER,
LUXO  REAL,Luxo Real
REST  PATEO,Don José Restaurante
INT PAG TIT BANCO 422,
TBI 2970.13225-0naty,
LANCHONETE ,Papis Lanches
JARDIM ANAL,
FRANGO ASSA,Frango Assado
TBI 8471.13900-9Presente,
GIRAFFAS,Giraffas
ALDINO S LA,Aldinos
DEGAS POMPE,Degas
HERING M CR,Hering
INT PAG TIT BANCO 001,
BABY STUFF,
GUARULHOS S,Super Pizza Pan
SISDEB  SEM PARAR,Sem Parar
CASA DA PIZ,Casa da Pizza
CH COMPENSADO 341 300100,
SISDEB  MEDICOS SEM FR,
SAQUE 24H 07758378,
2131RAIA,Droga Raia
TED 0001.3307CAIXA C S,
CENTAURO,Centauro
TBI 7386.07436-8     C/C,
CINEMARK 72,Cinemark
CH COMPENSADO 341 300099,
SAQUE 24H 05840038,
DOC 104.0235SERGIO T YAM,
SEGURO ITAUCAR COR 01/01,
ACLIMACAO B,
TOK E STOK ,Tok Stok
RI HAPPY,Ri Happy
EXTRA R JAF,Extra
NEO GEO WOR,Play Land
CH COMPENSADO 237 300109,
SAQUE 24H 08145278 28/11,
CH COMPENSADO 341 300106,
SAQUE 24H 02844033 25/06,
PAO DE LEIT,Padaria Pão de Leite
CH COMPENSADO 341 300108,
CEDIPI,Cedipi
GO NATURAL,
FLIPWASH BO,
LOJAS RENNE,Lojas Renner
PREMIO VGBL RF,Previdência Privada
CADILLAC BU,Cadillac Burguer
CXE     002147 SAQUE,
LANCHETERIA NADAI,
PIZZA PAULI,Pizzaria Paulista 10
DIA 457 ,Dia Supermercado
TUTTI PIZZA,Tutti Pizza
PARKSTATION,Estacionamento
FLORICULTUR,
CARTAO PERSONNALITE,
TAIYOO REST,Taiyoo Restaurante
AMAZON.COM.BR,Amazon
TEMAKI POIN,Temaki Point (Food Truck)
MALUCOS POR,Malucos Por Pizza
SAO JOSE,
CH COMPENSADO 341 300105,
DROGARIA PA,
REST PATEO,
ANJO PARK,
BUZINA FOOD,Buzina Food Truck
PIZZARIA CA,Casa Aurora
SARAIVA ITA,Saraiva
MARISA  LOJ,
DOCTOR FEET,Doctor Feet
BAYARD ,Bayard
CRISTALLO,Cristallo
DROG EXTRA,Drogaria Extra
MOB,Mob
ZONA CRIATI,Zona Criativa
SAUDE BUCAL,Dentista
TBI 9104.17261-5raissa,
VERA CRUZ ,Vera Cruz
INT  PAG TIT 237,
ESTACIONAMENTO-ANALIA,Estacionamento
LANCHONETE,Lanchonete da Cidade
RECANTO DOS,
CEA MODAS 1,C&A
CINEMARK,Cinemark
OKI PARK ES,Estacionamento
LA CREMERIE,Cachaçaria
NOTA FISCAL PAULISTA,
OFNER,Ofner
NAHOE ITAPU,Nahoe Sushi
CH COMPENSADO 341 300107,
TBI 9104.13816-0     C/C,
ALO BEBE 14,Alô Bebê
TBI 0644.61499-2/500,
VIE VERTE,Carrinho Folha
ROBERTO MOL,
HANNOVER ,Hannover
PRINT BANK,
PAPIS LANCH,Papis Lanches
PRACA DOS P,Praça dos Pães
AUTO POSTO,Posto de Gasolina
HOLY BURGER,Holy Burger
INT PM S PAULO 423700299,
REND PAGO APLIC AUT MAIS,Aplicação Automática
PAGSEGUROUO,
SAQUE 24H 19997162,
TARBOUSH EX,Tarboush
SONDA LJ 12,Sonda
TED 001.3307CAIXA C S AD,
PBKIDS,PB Kids
TED S 237.0296TIAGO HIPO,
MR CHENEY C,Mr Cheney
PIZZA HUT S,Pizza Hut
CAFE BANDEI,Frans Café
COLEGIO UNI,
CARICA VIDA,Freddo Sorvetes
CASA NA PRA,Casa na Praia
DEB AUTOR SEM PARAR,Sem Parar
NETSHOES,Netshoes
BABYS MARKE,Babys Market
AURORA ALVO,Casa Aurora
TBI 3757.10086-6cafe,
SAQUE 24H 06068373,
